Genes	Subtype
HLA.DPB1	Basal:AziziLabs
PCSK1N	Basal:AziziLabs
C4orf48	Basal:AziziLabs
CTSC	Basal:AziziLabs
KRT14	Normal epithelial:AziziLabs
KRT17	Normal epithelial:AziziLabs
LTF	Normal epithelial:AziziLabs
KRT15	Normal epithelial:AziziLabs
PTN	Normal epithelial:AziziLabs
MGP	Normal epithelial:AziziLabs
TACSTD2	Normal epithelial:AziziLabs
MMP7	Normal epithelial:AziziLabs
SCGB3A1	Normal epithelial:AziziLabs
KRT5	Normal epithelial:AziziLabs
CRYAB	Normal epithelial:AziziLabs
CXCL2	Normal epithelial:AziziLabs
SAA1	Normal epithelial:AziziLabs
CLDN4	Normal epithelial:AziziLabs
WFDC2	Normal epithelial:AziziLabs
MYLK	Normal epithelial:AziziLabs
TM4SF1	Normal epithelial:AziziLabs
SFRP1	Normal epithelial:AziziLabs
AZGP1	Normal epithelial:AziziLabs
DST	Normal epithelial:AziziLabs
KRT8	Normal epithelial:AziziLabs
CSRP1	Normal epithelial:AziziLabs
ACTG2	Normal epithelial:AziziLabs
MT1X	Normal epithelial:AziziLabs
KRT7	Normal epithelial:AziziLabs
TAGLN	Normal epithelial:AziziLabs
CLU	Normal epithelial:AziziLabs
MT1E	Normal epithelial:AziziLabs
PDLIM3	Normal epithelial:AziziLabs
SFN	Normal epithelial:AziziLabs
MAFF	Normal epithelial:AziziLabs
SLPI	Normal epithelial:AziziLabs
CCL28	Normal epithelial:AziziLabs
FBXO32	Normal epithelial:AziziLabs
PERP	Normal epithelial:AziziLabs
KRT18	Normal epithelial:AziziLabs
CNN1	Normal epithelial:AziziLabs
CXCL14	Normal epithelial:AziziLabs
EPCAM	"Epithelial:Chen et al, Bladder paper"
CD14	Classical Monocytes:SCTyper
CD11b	Classical Monocytes:SCTyper
CD68	Classical Monocytes:SCTyper
HLA-DR	Classical Monocytes:SCTyper
CD33	Classical Monocytes:SCTyper
CD11c	Classical Monocytes:SCTyper
CD123	Classical Monocytes:SCTyper
CD15	Classical Monocytes:SCTyper
CD3D	Classical Monocytes:SCTyper
CD3E	Classical Monocytes:SCTyper
CD3G	Classical Monocytes:SCTyper
CD3Z	Classical Monocytes:SCTyper
CD66b	Classical Monocytes:SCTyper
VCAN	Classical Monocytes:SCTyper
S100A12	Classical Monocytes:SCTyper
CXCL8	Classical Monocytes:SCTyper
S100A8	Classical Monocytes:SCTyper
S100A9	Classical Monocytes:SCTyper
LYZ	Classical Monocytes:SCTyper
CST3	Classical Monocytes:SCTyper
Elane1	Classical Monocytes:SCTyper
CD203c	Granulocytes:SCTyper
CD15	Granulocytes:SCTyper
CD11b	Granulocytes:SCTyper
CD63	Granulocytes:SCTyper
CD66b	Granulocytes:SCTyper
CD123	Granulocytes:SCTyper
CD16	Granulocytes:SCTyper
CD33	Granulocytes:SCTyper
CD117	Granulocytes:SCTyper
CD45	Granulocytes:SCTyper
Fc-epsilon RI-alpha	Granulocytes:SCTyper
CD125	Granulocytes:SCTyper
CD13	Granulocytes:SCTyper
CD14	Granulocytes:SCTyper
CD25	Granulocytes:SCTyper
CD44	Granulocytes:SCTyper
CD69	Granulocytes:SCTyper
CD9	Granulocytes:SCTyper
HLA-DR	Granulocytes:SCTyper
CCR3	Granulocytes:SCTyper
CD116	Granulocytes:SCTyper
CD11c	Granulocytes:SCTyper
CD193	Granulocytes:SCTyper
CD24	Granulocytes:SCTyper
