Genes	Subtypes
GLUL	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CELA3A	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ALOX5AP	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CD55	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PNLIP	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
HOPX	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
REG1A	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
RORA	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SOCS1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CITED2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PGK1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
FTL	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ITM2C	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PFKFB3	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SRSF7	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
LINC02446	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PRDM1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
GABARAPL1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
OXNAD1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CAPG	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SPRY1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
FKBP5	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
